Temperature1,Temperature2,Temperature3,Light Intensity1,Light Intensity2,Light Intensity3,Typing Speed1 (words per minute),Typing Speed2 (words per minute),Typing Speed3 (words per minute)
22.5,22.5,22.5,200.0,200.0,200.0,62.0,62.0,62.0
26.819177526021974,25.34998381298152,23.346747519245124,1123.2353146084547,747.6986240736064,805.9513134817446,61.9975,61.9975,61.9975
26.80814580220763,25.332031184624167,23.325238029303392,1021.3137479977212,830.5448680240372,893.3852357082578,61.99625,61.99625,61.99625
26.797032057507263,25.314024638475345,23.30371282801913,683.9941252047961,917.3953092980936,1188.7578459018391,61.995,61.995,61.995
26.785836503510563,25.29596451735373,23.28217232520116,655.4591539832887,633.1511971294863,1030.429885524779,61.99375,61.99375,61.99375
26.774559353364733,25.27785116509801,23.260616930949585,494.648060331054,542.3144064635762,836.5335023052686,61.9925,61.9925,61.9925
26.76320082177046,25.25968492656029,23.23904705564805,670.6720165047494,1314.4757392964666,1086.489587211659,61.99125,61.99125,61.99125
26.75176112497781,25.241466147599567,23.217463109955897,383.87560656150646,915.2058921794826,529.9041304051891,61.99,61.99,61.99
26.74024048078213,25.223195175075134,23.195865504800327,335.4371897201096,668.7194035496364,583.9653699904857,61.98875,61.98875,61.98875
26.728639108519864,25.20487235683997,23.174254651368617,1118.6212488752726,621.3209716756311,331.44657206322347,61.9875,61.9875,61.9875
26.71695722906443,25.18649804173412,23.152630961100257,1158.3132276504964,675.4505228765559,687.1439082966032,61.98625,61.98625,61.98625
26.705195064821964,25.16807257957806,23.13099484567915,522.526804894082,843.0167501877331,1153.7849219811233,61.985,61.985,61.985
26.69335283972712,25.149596321166023,23.109346717025737,1212.0709012683844,943.7019985052672,599.2714935012543,61.98375,61.98375,61.98375
26.681430779238795,25.13106961825935,23.08768698728919,975.5676477811428,1234.6188442548707,601.7615669627489,61.9825,61.9825,61.9825
26.66942911033584,25.112492823579743,23.06601606883953,564.8313556909691,1168.248775141668,1325.2385883849583,61.98125,61.98125,61.98125
26.657348061512725,25.09386629080261,23.044334374259822,692.0009838580085,511.7172473503203,883.9134154043528,61.98,61.98,61.98
26.64518786277521,25.07519037455027,23.022642316338267,453.36161276489287,744.2895954114028,1134.4198053925174,61.97875,61.97875,61.97875
26.632948745635943,25.056465430385263,23.00094030806038,859.4006547895018,392.5908803647176,882.3917432891313,61.9775,61.9775,61.9775
26.62063094311008,25.037691814803523,22.97922876260112,649.5853717647271,511.5542571043933,633.1341498733466,61.97625,61.97625,61.97625
26.60823468971082,25.01886988522763,22.957508093317013,930.6980519819458,1255.7884048873889,591.6919242445862,61.975,61.975,61.975
26.59576022144496,25.0,22.93577871373829,290.87932078981635,1268.5231799537576,699.5344394268624,61.97375,61.97375,61.97375
26.5832077758084,24.98108251837604,22.91404103756102,1137.6566523495203,330.65015030264647,1146.7203357853837,61.9725,61.9725,61.9725
26.5705775917816,24.962117800517337,22.892295478639227,663.988277734969,591.400803836998,813.6967072074847,61.971250000000005,61.971250000000005,61.971250000000005
26.55786990982506,24.94310620748477,22.870542450977,237.07881115814416,1083.8254518381675,523.3624722733249,61.97,61.97,61.97
26.545084971874736,24.924048101231687,22.848782368720627,858.2753210436962,964.7022968000764,430.7849319147632,61.96875,61.96875,61.96875
26.532223021337416,24.90494384459694,22.82701564615072,713.8501468308101,790.4890414995136,814.6635235182478,61.9675,61.9675,61.9675
26.51928430308609,24.885793801298043,22.805242697674284,819.0961032068064,590.5697608597478,818.7992699191283,61.96625,61.96625,61.96625
26.506269063455303,24.866598335924216,22.783463937816887,872.3497995221218,726.939333996777,809.387944179137,61.965,61.965,61.965
26.493177550236464,24.847357813929456,22.76167978121472,1094.200674382597,242.11543508509635,663.5817049667966,61.963750000000005,61.963750000000005,61.963750000000005
26.480010012673112,24.82807260162556,22.73989064260672,812.4125017648148,875.0422301115576,1091.0694165908417,61.962500000000006,61.962500000000006,61.962500000000006
26.466766701456176,24.80874306617517,22.71809693682668,850.2835921003818,763.6558268375001,351.87531284213554,61.96125,61.96125,61.96125
26.453447868719216,24.789369575584782,22.696299078795345,1053.8705511841515,1078.4160602681172,453.5916990446848,61.96,61.96,61.96
26.44005376803361,24.769952498697734,22.674497483512503,1111.3301602194997,704.8725008950303,733.6025386328707,61.95875,61.95875,61.95875
26.42658465440373,24.75049220518718,22.65269256604911,978.6135242452758,389.1775950219605,896.7157833475868,61.9575,61.9575,61.9575
